state,county,latitude,longitude,reachedPatientLimit
MO,BOONE,38.7741662,-92.2555857,Y
CT,HARTFORD,41.7679391,-72.654014,Y
CT,TOLLAND,41.8736506,-72.4635611,Y
CT,HARTFORD,41.7223433,-72.6684718,Y
RI,PROVIDENCE,41.8311121,-71.3647628,Y
MI,OAKLAND,42.6377491,-83.1714739,Y
UT,SALT LAKE,40.6652429,-111.8329174,Y
NY,RICHMOND,40.6169666,-74.1727132,Y
NJ,MONMOUTH,40.226107,-74.0811256,Y
NJ,MERCER,40.388242,-74.653371,Y
TX,FORT BEND,29.637995,-95.5816666,Y
GA,COFFEE,31.5063473,-82.8617436,Y
CA,LOS ANGELES,34.1566477,-118.4875389,Y
CA,CONTRA COSTA,37.9102059,-122.041527,Y
UT,SALT LAKE,40.7586605,-111.8231464,Y
VA,FAIRFAX,38.9481264,-77.3304234,Y
PA,DELAWARE,39.8673226,-75.3614856,Y
IL,COOK,41.8830478,-87.62682,Y
DC,DISTRICT OF COLUMBIA,38.8855512,-76.9739373,Y
MD,ANNE ARUNDEL,39.1876656,-76.6147805,Y
OR,MULTNOMAH,45.5046464,-122.6221586,Y
NY,KINGS,40.6467531,-74.0208609,Y
HI,KAUAI,21.9678934,-159.3839925,Y
PA,PHILADELPHIA,39.9919146,-75.1406854,Y
NJ,BURLINGTON,39.8817541,-74.9203999,Y
NJ,OCEAN,39.9657959,-74.2160519,Y
IL,MACOUPIN,39.2765365,-89.8579613,Y
ME,YORK,43.409496,-70.521591,Y
NJ,MONMOUTH,40.1729508,-74.0571934,Y
WV,KANAWHA,38.3539309,-81.7290203,Y
PR,CANOVANAS,18.3748748,-65.8997533,Y
PA,LUZERNE,41.2479987,-75.8355952,N
MI,OAKLAND,32.787884,-96.780273,Y
MA,BRISTOL,41.9968062,-71.2098775,Y
MA,SUFFOLK,42.3431334,-71.066215,Y
PA,ALLEGHENY,40.5810301,-80.0219216,Y
CT,TOLLAND,41.798843,-72.376837,Y
MI,KENT,42.9440387,-85.5582269,Y
FL,PALM BEACH,26.4177413,-80.0979688,Y
IL,COOK,41.8991044,-87.6772439,Y
IL,COOK,41.7956459,-87.8867651,Y
IL,COOK,41.872034,-87.7642823,Y
NY,SCHENECTADY,42.8122839,-73.9377136,Y
CA,LOS ANGELES,34.0542121,-118.2658386,Y
IL,MCHENRY,42.1553109,-88.3323921,Y
IL,KANE,42.0328125,-88.3277697,Y
IL,COOK,42.0826712,-88.0805424,Y
MD,PRINCE GEORGES,38.947771,-76.7362674,Y
MD,BALTIMORE CITY,39.3036701,-76.6135465,Y
NY,QUEENS,40.5535706,-73.9281766,Y
NY,NEW YORK,40.7779719,-73.9750554,Y
NJ,BERGEN,40.9494229,-74.0508735,Y
PA,LEHIGH,40.5831116,-75.4451469,Y
CA,SAN FRANCISCO,37.7829139,-122.394128,Y
CA,CONTRA COSTA,37.8963588,-122.0535813,Y
CA,MONTEREY,36.5939861,-121.8953901,Y
CA,SANTA CLARA,37.4498968,-122.1573118,Y
CA,ALAMEDA,37.8640724,-122.2687119,Y
NJ,ATLANTIC,39.3926067,-74.3955984,Y
CA,SAN FRANCISCO,37.782395,-122.5052644,Y
NJ,OCEAN,40.0056235,-74.1493654,Y
NY,NEW YORK,40.7468666,-73.985177,Y
FL,PALM BEACH,26.6334437,-80.1908629,Y
NY,QUEENS,40.7308361,-73.8631325,Y
MI,MUSKEGON,43.1714466,-86.2208065,Y
MS,MADISON,32.4164821,-90.1659702,Y
NY,SUFFOLK,41.0617397,-72.3257944,Y
FL,LEE,26.3316573,-81.7901934,Y
NY,KINGS,40.6467531,-74.0208609,Y
CA,ORANGE,33.747877,-117.816901,Y
LA,SAINT TAMMANY,30.2734702,-89.7825132,Y
CA,RIVERSIDE,33.7521886,-116.9589696,Y
NY,NEW YORK,40.7782674,-73.9534096,Y
CA,ORANGE,33.630519,-117.9563067,Y
MD,BALTIMORE CITY,39.3292214,-76.6147644,Y
MA,HAMPDEN,42.1216158,-72.6037013,Y
CT,NEW LONDON,41.3378019,-72.1050729,Y
MA,HAMPDEN,42.1052846,-72.6186937,Y
CT,HARTFORD,41.7964305,-72.6875301,Y
NY,ALBANY,42.6555041,-73.8032632,Y
MD,BALTIMORE CITY,39.3199713,-76.6625681,Y
DC,MONTGOMERY,38.9626435,-77.0872842,Y
NY,ROCKLAND,40.7326656,-73.9815974,Y
NY,BRONX,40.8645003,-73.9043888,Y
NY,NEW YORK,40.791484,-73.9520122,Y
DC,DISTRICT OF COLUMBIA,38.9337,-77.0851359,Y
IN,CLARK,38.3266945,-85.7094418,Y
MD,BALTIMORE,39.2620887,-76.4823124,Y
KS,JOHNSON,38.8838325,-94.8124172,Y
NY,RICHMOND,40.58642,-74.0874039,Y
NJ,BURLINGTON,39.8942357,-74.8816617,Y
MA,NORFOLK,42.1710405,-71.2000064,Y
MA,NORFOLK,42.123144,-71.232455,Y
NJ,MORRIS,40.910072,-74.425018,Y
NY,NEW YORK,40.757689,-73.960708,Y
PR,HUMACAO,18.1521217,-65.8323808,Y
PR,HUMACAO,18.1509521,-65.8229669,Y
NY,NEW YORK,40.8256526,-73.9441121,Y
NY,KINGS,40.5886123,-73.9500459,Y
MN,HENNEPIN,44.9277614,-93.3590081,Y
NC,CUMBERLAND,35.0331997,-78.9363915,Y
NY,ONONDAGA,43.0574781,-76.1393319,Y
IN,PORTER,41.4893639,-87.053761,Y
OH,MONTGOMERY,39.736137,-84.1536069,Y
TX,TARRANT,32.7441594,-97.3127458,Y
NJ,UNION,40.7128807,-74.3528932,Y
AL,MOBILE,30.5977629,-88.1688165,Y
OH,LUCAS,41.6689103,-83.7411216,Y
AL,JEFFERSON,33.6223407,-86.8017708,Y
CA,LOS ANGELES,34.059,-118.4416377,Y
WA,KING,47.6013067,-122.3045966,Y
TX,TARRANT,32.8324699,-97.1227414,Y
TX,GALVESTON,29.401772,-94.9030097,Y
NJ,SOMERSET,40.5011035,-74.6413543,Y
CA,SANTA CLARA,37.4055356,-122.1400973,Y
IL,KANE,42.0712376,-88.3371012,Y
TX,TRAVIS,30.35351,-97.9631176,Y
OK,TULSA,36.0664923,-95.9219948,Y
CA,LOS ANGELES,33.9021448,-118.3445397,Y
HI,HONOLULU,21.3973396,-157.7422015,Y
NC,GUILFORD,36.1280152,-79.8579827,Y
CA,ORANGE,33.7045761,-117.9877288,Y
TX,HARRIS,29.7026386,-95.3883936,Y
MS,NEWTON,32.4298932,-89.1096105,Y
MS,RANKIN,32.3286588,-90.1145358,Y
VA,RUSSELL,36.9030838,-82.0761718,Y
FL,PINELLAS,27.8132985,-82.7771099,Y
CA,LOS ANGELES,34.6316178,-118.1497084,Y
NJ,ESSEX,40.833588,-74.227585,Y
CA,ORANGE,33.6242408,-117.9057223,Y
CA,LOS ANGELES,34.0760882,-118.2860066,Y
CA,LOS ANGELES,34.0638745,-118.3037736,Y
CA,LOS ANGELES,34.1726509,-118.5648884,Y
MD,MONTGOMERY,39.1595164,-77.2280313,Y
MD,MONTGOMERY,39.0997858,-77.1994378,Y
MD,BALTIMORE CITY,39.2992161,-76.5933799,Y
MA,WORCESTER,42.2636424,-71.8181022,Y
CT,NEW HAVEN,41.4570108,-72.8230736,Y
CT,NEW HAVEN,41.2705484,-72.9469711,Y
OK,OKLAHOMA,35.5296177,-97.5714734,Y
FL,BROWARD,25.9947954,-80.3083946,Y
MI,GRAND TRAVERSE,44.7278521,-85.6238403,Y
CA,ORANGE,33.816948,-118.0082245,Y
CA,SAN FRANCISCO,37.7557265,-122.4047381,Y
KY,WARREN,36.9932461,-86.4343488,Y
PA,BUCKS,40.1588047,-75.0186038,Y
MD,BALTIMORE CITY,39.2927983,-76.5486332,Y
NY,BRONX,40.902548,-73.850696,Y
NY,NEW YORK,40.7328953,-73.9833282,Y
IL,COOK,41.8746646,-87.6771887,Y
NY,NASSAU,40.6529127,-73.6279802,Y
NC,TRANSYLVANIA,35.2445049,-82.721126,Y
MA,BRISTOL,41.9244457,-71.3604067,Y
IL,WINNEBAGO,42.2365341,-89.0369465,Y
NC,MECKLENBURG,35.5083179,-80.8643509,Y
FL,CHARLOTTE,27.0136545,-82.1323453,Y
NC,HARNETT,35.30589,-78.631824,Y
NC,GASTON,35.2438699,-81.169991,Y
NC,MECKLENBURG,35.2095292,-80.8248897,Y
SC,RICHLAND,34.0007104,-81.0348144,Y
NC,BURKE,35.733858,-81.6854883,Y
TX,JOHNSON,32.5427787,-97.3155436,Y
CT,NEW HAVEN,41.5409706,-72.7990169,Y
TX,DENTON,33.0115776,-96.9639053,Y
NC,MECKLENBURG,35.0999089,-80.7820605,Y
PA,MONTGOMERY,39.9241134,-75.4490094,Y
CA,RIVERSIDE,33.84819,-116.5461018,Y
VT,BENNINGTON,42.87809,-73.189255,Y
UT,SALT LAKE,40.7802672,-111.8802859,Y
NY,QUEENS,40.7174553,-73.8043343,Y
NY,ULSTER,41.8548906,-74.2974257,Y
IL,COOK,42.0197653,-87.6865417,Y
CA,SANTA CLARA,37.3128569,-121.9332672,Y
CT,NEW HAVEN,41.5592068,-73.0602252,Y
IL,DUPAGE,41.7958535,-88.2035943,Y
IL,COOK,41.7858006,-87.7757376,Y
IL,LAKE,42.4253852,-88.1308545,Y
NY,BRONX,40.8461493,-73.9042441,Y
WI,PRICE,45.931189,-90.4413928,Y
IN,LAKE,41.4637197,-87.3170733,Y
NY,BERNALILLO,35.1310806,-106.5101206,Y
NJ,BERGEN,40.8863173,-74.0147263,Y
CO,DENVER,39.7049652,-104.9417916,Y
CO,ARAPAHOE,39.692452,-104.8304591,Y
WI,BROWN,44.531588,-88.0679737,Y
CO,EAGLE,39.648763,-106.324517,Y
CO,EAGLE,39.6352759,-106.5238827,Y
PA,JUNIATA,40.5833519,-77.3686459,Y
TX,DALLAS,32.6458673,-96.8800458,Y
PA,MONROE,41.008858,-75.1617505,Y
CA,SAN MATEO,37.479843,-122.2546654,Y
TX,COLLIN,33.0426009,-96.8389231,Y
WY,NATRONA,42.8346803,-106.2938658,Y
PA,WASHINGTON,40.3385709,-80.3811274,Y
FL,ALACHUA,29.616122,-82.339471,Y
NY,WESTCHESTER,40.9886651,-73.7093495,Y
MA,NORFOLK,42.1763551,-70.9555639,Y
MA,BRISTOL,41.634742,-70.949245,Y
GA,DEKALB,33.928705,-84.3006,Y
GA,DEKALB,33.928327,-84.3017488,Y
NY,NASSAU,40.8070875,-73.4826935,Y
OH,HAMILTON,39.1392117,-84.5080364,Y
MI,MONROE,41.9494431,-83.3821016,Y
NY,NEW YORK,40.7513313,-73.9730852,Y
FL,SAINT LUCIE,27.297306,-80.271333,Y
RI,PROVIDENCE,41.8323703,-71.4340933,Y
MA,MIDDLESEX,42.3951913,-71.194474,Y
RI,PROVIDENCE,41.8296762,-71.3851829,Y
MA,MIDDLESEX,42.4967379,-71.126383,Y
IL,COOK,42.0480149,-87.6804697,Y
SC,CHARLESTON,32.7998754,-80.0109047,Y
GA,COFFEE,31.5111064,-82.8669962,Y
SC,LEXINGTON,33.9994299,-81.0930995,Y
SC,GREENVILLE,34.865137,-82.260634,Y
NC,CHEROKEE,35.1968852,-83.7981103,Y
SC,ANDERSON,34.5455558,-82.629014,Y
GA,GWINNETT,33.9609544,-84.247862,Y
CA,ORANGE,33.6612318,-117.7596146,Y
NY,ROCKLAND,41.093264,-73.9149017,Y
KY,FAYETTE,38.0283368,-84.4456345,Y
PA,MONROE,40.9828059,-75.2089563,Y
NY,TIOGA,42.105669,-76.2612765,Y
CA,LOS ANGELES,34.056375,-118.280473,Y
AZ,NAVAJO,34.201947,-110.0144185,Y
CA,SAN DIEGO,32.9956398,-117.2651315,Y
CA,SAN FRANCISCO,37.7836992,-122.4392934,Y
NY,NEW YORK,40.7597893,-73.9737557,Y
NY,SARATOGA,43.077855,-73.787261,Y
FL,HERNANDO,28.5328452,-82.5260334,Y
FL,ALACHUA,29.616122,-82.339471,Y
CT,MIDDLESEX,41.6004889,-72.6763951,Y
CA,SHASTA,40.5658661,-122.3514428,Y
CA,SANTA CLARA,37.261967,-121.9662407,Y
CT,HARTFORD,41.8800697,-72.7362259,Y
NY,SUFFOLK,40.9783421,-72.1274918,Y
PR,MAYAGUEZ,18.2013463,-67.1451517,Y
CA,LOS ANGELES,34.1338509,-117.8718836,Y
MA,ESSEX,42.6731281,-71.1261968,Y
MA,WORCESTER,42.2763579,-71.7949143,Y
MA,MIDDLESEX,42.4088608,-71.2912962,Y
MA,NORFOLK,42.23832,-71.180789,Y
MA,NORFOLK,42.2983204,-71.1493329,Y
ID,ADA,43.6865523,-116.3495159,Y
KY,CHRISTIAN,36.8860342,-87.4915395,Y
VA,CHESAPEAKE CITY,36.8659884,-76.4144972,Y
AK,ANCHORAGE,61.185921,-149.8263619,Y
MI,GENESEE,43.0150671,-83.7467693,Y
MD,BALTIMORE,39.4517586,-76.6314112,Y
CA,ORANGE,33.5965549,-117.6756763,Y
RI,PROVIDENCE,41.8323703,-71.4340933,Y
NC,NEW HANOVER,34.241638,-77.896387,Y
MA,BRISTOL,41.6150377,-70.9313855,Y
AZ,MARICOPA,33.5173435,-112.0990091,Y
VA,ALEXANDRIA CITY,38.8074574,-77.0798629,Y
MA,BERKSHIRE,42.459638,-73.2492284,Y
NY,NEW YORK,40.7513679,-73.9729897,Y
VA,CHESTERFIELD,37.4665421,-77.6626501,Y
TX,BEXAR,29.5070279,-98.5760846,Y
GA,WARE,31.2135511,-82.3540178,Y
SC,HORRY,33.6538077,-78.985729,Y
CA,SAN BERNARDINO,34.0501957,-117.2510619,Y
WV,BROOKE,40.3930981,-80.5264305,Y
LA,EAST BATON ROUGE,30.4206199,-91.0512008,Y
CT,NEW HAVEN,41.5536318,-73.0364231,Y
NY,BRONX,40.8631005,-73.8911088,Y
NY,BRONX,40.8169418,-73.9244146,Y
NY,NEW YORK,40.7183865,-73.9889583,Y
MA,NORFOLK,42.3443225,-71.1147253,Y
CA,SANTA CLARA,37.2632762,-121.9442447,Y
PA,ALLEGHENY,,,Y
ME,HANCOCK,44.5201475,-68.398148,Y
ME,YORK,43.2661741,-70.8626358,Y
NH,HILLSBOROUGH,42.9836711,-71.4372405,Y
ME,CUMBERLAND,43.6828875,-70.3317387,Y
NY,NEW YORK,40.7373522,-73.9933976,Y
GA,MUSCOGEE,32.5343639,-84.9774385,Y
MA,MIDDLESEX,42.3932029,-71.1909083,Y
GA,ROCKDALE,33.6415545,-84.0087953,Y
MO,SAINT LOUIS CITY,38.6347453,-90.2626816,Y
NY,NEW YORK,40.7330663,-73.9819259,Y
MA,PLYMOUTH,42.0630053,-71.0539551,Y
NY,WESTCHESTER,41.0263402,-73.7911471,Y
NJ,PASSAIC,40.9549426,-74.2110999,Y
NY,KINGS,40.6892694,-73.9646864,Y
MA,ESSEX,42.6731281,-71.1261968,Y
NY,ONONDAGA,43.0506145,-76.1481885,Y
CA,LOS ANGELES,34.6898586,-118.1608612,Y
KY,FAYETTE,38.0181515,-84.5137028,Y
PA,CUMBERLAND,40.2144662,-76.9607143,Y
MD,BALTIMORE,39.39922,-76.646897,Y
CA,SACRAMENTO,38.6381907,-121.4574019,Y
MI,INGHAM,42.7222954,-84.4639854,Y
NY,NEW YORK,40.7640596,-73.9679754,Y
PA,CHESTER,39.9994448,-75.7956448,Y
FL,BROWARD,26.274723,-80.12112,Y
NY,WESTCHESTER,40.9171683,-73.7720275,Y
NY,NEW YORK,40.7308239,-73.9933112,Y
ME,HANCOCK,44.3894062,-68.2226839,Y
VA,NORTHHAMPTON,37.4763859,-75.8597726,Y
AZ,MARICOPA,33.4216822,-111.8284925,Y
CA,LOS ANGELES,34.0650997,-118.3733621,N
NY,ORANGE,41.4419177,-74.3680944,Y
AZ,PIMA,32.1809835,-110.9645071,Y
TX,TARRANT,32.8316697,-97.11924,Y
WA,KING,47.1616396,-122.4849106,Y
IL,WINNEBAGO,42.2728299,-88.9973134,Y
MI,WAYNE,42.3825465,-83.4127354,Y
CA,LOS ANGELES,34.2613724,-118.5027182,Y
CA,ORANGE,33.6520638,-117.9107115,Y
CA,VENTURA,34.1607027,-118.8212259,Y
CA,LOS ANGELES,34.1516673,-118.4489417,Y
CA,LOS ANGELES,33.7874106,-118.1408861,Y
CA,ORANGE,33.8034011,-118.0658561,Y
NY,NEW YORK,40.7239832,-73.996478,Y
CA,LOS ANGELES,34.1856097,-118.6066504,Y
PA,NORTHAMPTON,40.6312223,-75.3766892,Y
PA,BUCKS,40.208017,-74.8683105,Y
MA,SUFFOLK,42.3616825,-71.0671872,Y
NJ,ESSEX,40.7749441,-74.324333,Y
NJ,ESSEX,40.7132165,-74.2551408,Y
OR,UNION,45.3196488,-118.0952426,Y
AK,JUNEAU,58.2994166,-134.4075676,Y
NY,QUEENS,40.715691,-73.9012028,Y
TN,DAVIDSON,36.1400212,-86.8399988,Y
NY,KINGS,40.6725525,-73.9644072,Y
TX,DALLAS,32.8628411,-96.8081,Y
MA,WORCESTER,42.2753066,-71.7626132,Y
NY,MONROE,43.1237896,-77.5189477,Y
ME,WALDO,44.418767,-69.023522,Y
MA,PLYMOUTH,42.101529,-70.9572546,Y
MA,BRISTOL,41.6527859,-70.9214833,Y
VT,RUTLAND,43.598604,-72.962755,Y
VT,RUTLAND,43.6077379,-72.9737607,Y
GA,DEKALB,33.9275792,-84.2984767,Y
NY,KINGS,40.6099606,-73.9602516,Y
IL,WILL,41.5288625,-88.1327196,Y
ME,WASHINGTON,44.8462555,-66.9986582,Y
CT,NEW HAVEN,41.5607136,-73.0609404,Y
MA,SUFFOLK,42.2866939,-71.0441265,Y
PA,MONTGOMERY,40.1291918,-75.2991149,Y
HI,HONOLULU,21.2781939,-157.7547617,Y
MN,HENNEPIN,44.968092,-93.240165,Y
NY,NEW YORK,40.78053,-73.9575194,Y
TX,TRAVIS,30.2089023,-97.8622584,N
FL,DUVAL,30.3067135,-81.6504895,Y
IN,MARION,39.8838292,-86.0468482,Y
OH,WARREN,39.3318255,-84.2949668,Y
NH,STRAFFORD,43.3035089,-70.9707941,Y
CA,LOS ANGELES,34.0429541,-118.4448775,Y
OH,HAMILTON,39.0697119,-84.353178,Y
PR,BARCELONETA,18.4192001,-66.580086,Y
FL,ALACHUA,29.6621384,-82.4144763,Y
LA,ORLEANS,30.0342944,-89.9686955,Y
FL,ALACHUA,29.6902863,-82.4338208,Y
FL,DUVAL,30.348622,-81.6641394,Y
FL,MIAMI-DADE,25.8470072,-80.2013674,Y
FL,PINELLAS,27.9180408,-82.7968509,Y
MA,MIDDLESEX,42.3745123,-71.1041795,Y
MA,SUFFOLK,42.3631542,-71.0688334,Y
CA,SAN DIEGO,33.1896388,-117.3278126,Y
CA,VENTURA,34.2577295,-119.2049665,Y
CA,SAN DIEGO,32.8519811,-117.1857075,Y
SC,GREENVILLE,34.8481318,-82.3935577,Y
TX,DALLAS,32.7910016,-96.7797246,Y
NM,BERNALILLO,35.057986,-106.5813804,Y
GA,GLYNN,31.151299,-81.486595,Y
OR,LANE,44.0829505,-123.0267946,Y
GA,BIBB,32.9247632,-83.7267274,Y
GA,COBB,33.8553135,-84.5115273,Y
GA,CLAYTON,33.571314,-84.3313161,Y
GA,FULTON,33.7397366,-84.5108303,Y
GA,FULTON,33.72704,-84.3919073,Y
NY,NEW YORK,40.7702842,-73.9856816,Y
WI,MILWAUKEE,43.0471507,-87.8999491,Y
NY,ULSTER,41.9336971,-74.0190736,Y
FL,INDIAN RIVER,27.6596006,-80.3993224,Y
FL,PALM BEACH,26.5027578,-80.0689117,Y
PA,ALLEGHENY,40.4433937,-79.9599997,Y
GA,DEKALB,33.928327,-84.3017488,Y
NY,WESTCHESTER,40.9682154,-73.8841266,Y
NY,NEW YORK,40.7707681,-73.981731,Y
TN,SULLIVAN,,,Y
OK,PAWNEE,36.337527,-96.80381,Y
FL,PASCO,28.2441768,-82.7192671,Y
ID,GOODING,42.9234862,-114.7109877,Y
FL,LEE,26.5424228,-81.8481675,Y
PR,PONCE,18.0266315,-66.6001727,Y
PR,CAYEY,18.1113163,-66.1615719,Y
PR,DORADO,18.460651,-66.287389,Y
FL,LAKE,28.8378142,-81.8942162,Y
PR,PONCE,18.0122062,-66.6508473,Y
PR,PONCE,18.0388309,-66.5485921,Y
PR,CANOVANAS,18.3748748,-65.8997533,Y
NV,CLARK,36.1425947,-115.2491684,Y
MI,MACOMB,42.619585,-82.9525689,Y
FL,OSCEOLA,28.148459,-81.4527608,Y
PR,HATILLO,18.4863331,-66.8254545,Y
PR,SAN JUAN,18.391052,-66.0280063,Y
PR,LUQUILLO,18.2671107,-65.64758,Y
NY,WESTCHESTER,40.9300229,-73.7627248,Y
PR,HATILLO,32.9594891,-117.2653146,Y
PR,CAROLINA,18.3811915,-65.9564196,Y
PR,PONCE,18.0110768,-66.6140616,Y
NE,DOUGLAS,41.284209,-96.02826,Y
PR,HUMACAO,18.15093,-65.828841,Y
PR,MOCA,18.390193,-67.1095294,Y
NM,ROSEBUD,45.6298323,-106.66944,N
KY,FAYETTE,38.004533,-84.442675,Y
OH,CUYAHOGA,41.645747,-81.3878407,Y
OH,CUYAHOGA,41.502653,-81.62098,Y
OH,STARK,40.7661209,-81.5049589,Y
PA,WESTMORELAND,40.5683515,-79.7677133,Y
OH,WASHINGTON,39.4317059,-81.4649426,Y
OH,WASHINGTON,39.4317059,-81.4649426,Y
PA,CLEARFIELD,40.7477926,-78.5346288,Y
TX,DALLAS,32.7645782,-97.0589815,Y
